id,category,abbreviation,spoken_as,created_at,updated_at
27,street_type,AV,Avenue,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
26,street_type,AVE,Avenue,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
32,street_type,BLVD,Boulevard,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
31,street_type,CIR,Circle,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
30,street_type,CT,Court,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
28,street_type,DR,Drive,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
39,street_type,HWY,Highway,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
29,street_type,LN,Lane,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
38,street_type,PKWY,Parkway,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
37,street_type,PKY,Parkway,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
33,street_type,PL,Place,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
24,street_type,RD,Road,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
40,street_type,RT,Route,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
41,street_type,RTE,Route,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
25,street_type,ST,Street,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
34,street_type,TER,Terrace,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
35,street_type,TERR,Terrace,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
36,street_type,WAY,Way,2026-02-01 14:59:03.576378+00,2026-02-01 14:59:03.576378+00
23,unit_prefix,AIR,Aire,2026-02-01 14:59:03.573275+00,2026-02-28 03:37:10.699991+00
11,unit_prefix,ALS,A L S,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
7,unit_prefix,AMB,Ambulance,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
42,unit_prefix,BAT,Battalion,2026-02-28 03:25:13.92881+00,2026-02-28 03:25:13.92881+00
14,unit_prefix,BC,Battalion Chief,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
10,unit_prefix,BLS,B L S,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
21,unit_prefix,BOT,Boat,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
20,unit_prefix,BRU,Brush,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
16,unit_prefix,CAR,Car,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
13,unit_prefix,CHF,Chief,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
15,unit_prefix,DC,Deputy Chief,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
1,unit_prefix,ENG,Engine,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
22,unit_prefix,HAZ,Hazmat,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
3,unit_prefix,LAD,Ladder,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
8,unit_prefix,MED,Medic,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
9,unit_prefix,MIC,Mick you,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
12,unit_prefix,QRS,Q R S,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
5,unit_prefix,RES,Rescue,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
6,unit_prefix,SQD,Squad,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
18,unit_prefix,TAN,Tanker,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
43,unit_prefix,TEST123,test,2026-02-28 03:39:57.647192+00,2026-02-28 03:39:57.647192+00
19,unit_prefix,TNK,Tanker,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
4,unit_prefix,TRK,Truck,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
2,unit_prefix,TWR,Tower,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
17,unit_prefix,UTL,Utility,2026-02-01 14:59:03.573275+00,2026-02-01 14:59:03.573275+00
44,unit_prefix,ZZTEST,zulu test,2026-02-28 03:41:04.412248+00,2026-02-28 03:41:04.412248+00
